연번,호선,역명,상세위치,소형(개수),중형(개수),대형(개수),특대형(개수),이용요금,운영사
57,3,사직,(B1) 1번 출입구 방향,20,0,12,6,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
58,3,미남,(B1) 고객센터 맞은편,10,0,3,2,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
59,3,만덕,(B1) 화장실 근처,10,0,3,2,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
60,3,남산정,(B1) 고객센터 맞은편,10,0,6,0,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
61,3,숙등,(B1) 고객센터 맞은편,10,0,3,2,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
62,3,덕천,(B1) 8번 출입구 방향,8,0,2,2,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
63,3,구포,(B2) 1번 출입구 방향,10,0,3,2,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
64,3,강서구청,(B2) 에스컬레이터 방향,10,0,3,4,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
65,3,대저,(B1) 엘리베이터 출입구 방향,5,0,3,0,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
66,4,동래,(B1) 6번 출입구 방향,5,0,3,0,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
67,4,수안,(B1) 고객센터 근처,5,0,3,0,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
68,4,충렬사,(B1) 1번 출입구 방향,5,0,3,0,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
69,4,영산대,(B2) 2번 출입구 방향,5,0,3,0,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
70,4,윗반송,(B2) 2번 출입구 방향,5,0,3,0,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
71,4,안평,(B2) 2번 출입구 방향,5,0,3,0,"대 : 5,000원 / 중 : 3,000원 / 소 : 2,000원 (3시간 당)",㈜에스엠디지털락커
